finding_id,verdict,confidence,theme,field_codes,labels,types,locations,enum_or_dictionary_sample,why,recommendation
C001,likely_duplicate,high,Источник заявки,"SOURCE_ID
UF_CRM_1725952801493","SOURCE_ID: Источник
UF_CRM_1725952801493: Источник - лидген (умное поле)","SOURCE_ID: crm_status
UF_CRM_1725952801493: rest_188_smartfields_php","SOURCE_ID:
Лидген УС -> Тех -> Источник
Привлечение -> Техническое (не редактировать) -> Источник

UF_CRM_1725952801493:
Лидген УС -> Источник -> Источник - лидген (умное поле)
Привлечение -> Источник -> Источник - лидген (умное поле)",,"Оба поля называются/используются как источник. Standard SOURCE_ID лежит в технических секциях, smart field расположен в пользовательской секции Источник в Лидген УС и Привлечении.","Выбрать canonical source для отчетов и миграций. Если smart field рассчитывается из SOURCE_ID, описать правило; если нет — проверить, какое поле заполняется менеджерами."
C002,likely_duplicate_or_split_by_stage,high,Причина отказа,"UF_CRM_1647422744
UF_CRM_1758715585
UF_CRM_1772109151192","UF_CRM_1647422744: Причина отказа (привлечение)
UF_CRM_1758715585: Причина отказа (Лидген УС Неквал)
UF_CRM_1772109151192: Причина отказа (Лидген УС Корзина)","UF_CRM_1647422744: enumeration
UF_CRM_1758715585: enumeration
UF_CRM_1772109151192: enumeration","UF_CRM_1647422744:
Лидген УС -> Тех -> Причина отказа (привлечение)
Привлечение -> Если провал -> Причина отказа (привлечение)
Активация (Онбординг) -> Тестовый раздел - 3 -> Причина отказа (привлечение)

UF_CRM_1758715585:
Лидген УС -> Причина отказа -> Причина отказа (Лидген УС Неквал)

UF_CRM_1772109151192:
Лидген УС -> Причина отказа -> Причина отказа (Лидген УС Корзина)","UF_CRM_1647422744: Забракован нами (бан); Клиенту не интересен формат; Клиенту не интересно сейчас; Не дозвонились в течении месяца/нет телефона; Выбрал конкурента; Заявка с сайта (дубль); Клиенту интересно, просит вернуться позже; Предложение сотрудничества; К2; Передан в CFY; Тестовая сделка

UF_CRM_1758715585: Тестовая сделка; Предложение сотрудничества; Недозвон в течение недели; Дубль сделки; Спам; Не соответствует критериям; отклонение

UF_CRM_1772109151192: Негатив (Забракован нами (бан)); Клиенту не интересно сейчас; Клиенту не интересен формат; Перестал выходить на связь; Выбрал конкурента","Три enum-поля описывают причину отказа. Одно общее для Привлечения, два отдельных для Лидген УС Корзина/Неквал; есть пересечение значений и одинаковый бизнес-смысл.","Решить, нужна ли одна canonical reason + контекст стадии/исхода, или разные справочники действительно отражают разные процессы. Для аналитики лучше маппинг в единый reason dimension."
C003,technical_mirror_candidate,medium_high,Ответственный,"ASSIGNED_BY_ID
UF_CRM_1705517381","ASSIGNED_BY_ID: Ответственный
UF_CRM_1705517381: Ответственный (тех)","ASSIGNED_BY_ID: user
UF_CRM_1705517381: employee","ASSIGNED_BY_ID:
Лидген УС -> Общая информация -> Ответственный
Привлечение -> основное -> Ответственный
Активация (Онбординг) -> Данные для активации -> Ответственный

UF_CRM_1705517381:
Лидген УС -> Тех -> Ответственный (тех)
Активация (Онбординг) -> Тестовый раздел - 3 -> Ответственный (тех)",,"ASSIGNED_BY_ID — стандартный ответственный Bitrix. UF_CRM_1705517381 называется Ответственный (тех), имеет тип employee и лежит в техсекциях Лидген УС/Активации.","Проверить автоматизацию: если техническое поле копирует стандартного ответственного, не использовать его как отдельную бизнес-метрику. Если хранит исторического ответственного — переименовать явно."
C004,process_sequence_not_exact_duplicate,medium,Качество лида,"UF_CRM_1755245654
UF_CRM_1755248392
UF_CRM_1730380390","UF_CRM_1755245654: Базовое качество лида (входящее)
UF_CRM_1755248392: Подтвержденное качество
UF_CRM_1730380390: Итоговое качество лида","UF_CRM_1755245654: crm
UF_CRM_1755248392: crm
UF_CRM_1730380390: crm","UF_CRM_1755245654:
Лидген УС -> Качество лида -> Базовое качество лида (входящее)

UF_CRM_1755248392:
Лидген УС -> Качество лида -> Подтвержденное качество

UF_CRM_1730380390:
Лидген УС -> Качество лида -> Итоговое качество лида
Привлечение -> основное -> Итоговое качество лида","UF_CRM_1755245654: 1 Готов к коммуникации; 2 Готов к мероприятию; 3 Готов ко встрече с представителем; 4 Готов к заключению договора

UF_CRM_1755248392: 1 Готов к коммуникации; 2 Готов к мероприятию; 3 Готов ко встрече с представителем; 4 Готов к заключению договора

UF_CRM_1730380390: 1 Готов к коммуникации; 2 Пришёл на мероприятие; 3.1 Готов ко встрече с представителем клуба; 4.1 Пришёл на встречу с представителем клуба; 5 Готов к заключению Договора; 4.2 Пришёл на встречу с Амбассадором; 3.2 Готов ко встрече с Амбассадором","Поля Базовое качество, Подтвержденное качество и Итоговое качество лида похожи и используют близкие dynamic-справочники. Но названия указывают на разные этапы принятия решения.",Не объединять автоматически. Описать жизненный цикл качества: входящее -> подтвержденное -> итоговое. Для отчетов можно сделать единый derived dimension с выбранным приоритетом.
C005,same_dictionary_possible_duplicate,medium,Клуб назначения/квалификации,"UF_CRM_1766142078572
UF_CRM_1747682957","UF_CRM_1766142078572: Квалифицирован в клубы
UF_CRM_1747682957: Бизнес-клуб (заказчик куда поставляем)","UF_CRM_1766142078572: enumeration
UF_CRM_1747682957: enumeration","UF_CRM_1766142078572:
Лидген УС -> Общая информация -> Квалифицирован в клубы

UF_CRM_1747682957:
Лидген УС -> Встреча -> Бизнес-клуб (заказчик куда поставляем)
Привлечение -> основное -> Бизнес-клуб (заказчик куда поставляем)","UF_CRM_1766142078572: ClubFirst One; ClubFirst Future; ClubFirst Ladies; ClubFirst GlobAll; Атланты; Маркетплейсы

UF_CRM_1747682957: ClubFirst One; ClubFirst Globall; ClubFirst Ladies; ClubFirst Future; Атланты; Маркетплейсы; CTU","Оба enum-поля используют почти одинаковый список клубов. Первое множественное Квалифицирован в клубы, второе одиночное Бизнес-клуб (заказчик куда поставляем).","Скорее разные стадии одного смысла: подходящие клубы vs финальный клуб-получатель. Проверить владельцем процесса; если второе всегда одно из первого, задокументировать зависимость."
C006,related_event_date,medium,Дата встречи/адмиссии,"UF_CRM_1669784197394
UF_CRM_1642430435608","UF_CRM_1669784197394: Дата и время встречи
UF_CRM_1642430435608: Дата и время адмиссии","UF_CRM_1669784197394: datetime
UF_CRM_1642430435608: datetime","UF_CRM_1669784197394:
Лидген УС -> Встреча -> Дата и время встречи
Привлечение -> Встреча -> Дата и время встречи

UF_CRM_1642430435608:
Активация (Онбординг) -> Дополнительно -> Дата и время адмиссии",,"Оба поля datetime и относятся к назначенному событию. Разнесены по воронкам: встреча в Лидген/Привлечение, адмиссия в Активации.","Не считать дублем без подтверждения. Если адмиссия — продолжение встречи, оставить разные даты этапов; если это одно событие после передачи, настроить перенос значения."
C007,not_duplicate_series,high,Платежи рассрочки,"UF_CRM_1747810942
UF_CRM_1747810961
UF_CRM_1747811227
UF_CRM_1747811001
UF_CRM_1671527483773
UF_CRM_1671527496199
UF_CRM_1731670427151
UF_CRM_1747810922","UF_CRM_1747810942: Дата первого платежа
UF_CRM_1747810961: Дата второго платежа
UF_CRM_1747811227: Дата третьего платежа
UF_CRM_1747811001: Дата четвёртого платежа
UF_CRM_1671527483773: Сумма первого платежа
UF_CRM_1671527496199: Сумма второго платежа
UF_CRM_1731670427151: Сумма третьего платежа
UF_CRM_1747810922: Сумма четвёртого платежа","UF_CRM_1747810942: date
UF_CRM_1747810961: date
UF_CRM_1747811227: date
UF_CRM_1747811001: date
UF_CRM_1671527483773: money
UF_CRM_1671527496199: money
UF_CRM_1731670427151: money
UF_CRM_1747810922: money","UF_CRM_1747810942:
Привлечение -> Для рассрочки -> Дата первого платежа

UF_CRM_1747810961:
Привлечение -> Для рассрочки -> Дата второго платежа

UF_CRM_1747811227:
Привлечение -> Для рассрочки -> Дата третьего платежа

UF_CRM_1747811001:
Привлечение -> Для рассрочки -> Дата четвёртого платежа

UF_CRM_1671527483773:
Привлечение -> Для рассрочки -> Сумма первого платежа

UF_CRM_1671527496199:
Привлечение -> Для рассрочки -> Сумма второго платежа

UF_CRM_1731670427151:
Привлечение -> Для рассрочки -> Сумма третьего платежа

UF_CRM_1747810922:
Привлечение -> Для рассрочки -> Сумма четвёртого платежа",,"Автоматический алгоритм пометил даты и суммы платежей как похожие, но это индексированная серия 1/2/3/4 платежа, а не смысловые дубли.",Оставить как отдельные слоты рассрочки или нормализовать в отдельную таблицу платежного графика. Не объединять в одно CRM-поле.
C008,related_not_duplicate,medium,Тариф и договор,"UF_CRM_1643901145
UF_CRM_1647991685
UF_CRM_1723816760
UF_CRM_1723816739","UF_CRM_1643901145: Тариф
UF_CRM_1647991685: Тип договора
UF_CRM_1723816760: Тариф-адмиссия\вериф (регсбор) (КТГ)
UF_CRM_1723816739: Тариф-лицензия (КТГ)","UF_CRM_1643901145: enumeration
UF_CRM_1647991685: enumeration
UF_CRM_1723816760: money
UF_CRM_1723816739: money","UF_CRM_1643901145:
Привлечение -> Договор -> Тариф
Активация (Онбординг) -> Привлечение -> Тариф

UF_CRM_1647991685:
Привлечение -> Договор -> Тип договора
Активация (Онбординг) -> Привлечение -> Тип договора

UF_CRM_1723816760:
Привлечение -> Разбивка сумм -> Тариф-адмиссия\вериф (регсбор) (КТГ)

UF_CRM_1723816739:
Привлечение -> Разбивка сумм -> Тариф-лицензия (КТГ)","UF_CRM_1643901145: Федеральный Москва; Федеральный Санкт-Петербург; Региональный; Лайт; Globall; Globall Европа; Импакт; Дети; CFF

UF_CRM_1647991685: Стандартный; Стандартный по акции; Продление; Продление по акции; Онлайн; Региональный; Региональный по акции","Тариф, тип договора и разбивка тарифов похожи тематически, но отражают разные сущности: продукт/пакет, договорный тип и финансовые компоненты.","Не объединять. Для аналитики можно создать общий блок contract_terms, но поля оставить раздельными."
C009,canonical_reused_field,high,Причина отказа подробнее,UF_CRM_1647422890,UF_CRM_1647422890: Причина отказа подробнее,UF_CRM_1647422890: string,"UF_CRM_1647422890:
Лидген УС -> Причина отказа -> Причина отказа подробнее
Привлечение -> Если провал -> Причина отказа подробнее
Активация (Онбординг) -> Тестовый раздел - 3 -> Причина отказа подробнее",,"Это одно и то же technical field, переиспользуется в Лидген УС, Привлечении и Активации. Это не дубль, а уже общий canonical free-text detail.","Оставить как общий detail к причине отказа. Проверить, что оно не используется для разных смыслов в разных воронках."
C010,hidden_canonical_candidate,high,Хобби / интересы как теги,UF_CRM_1758620699,UF_CRM_1758620699: Хобби (теги) сделка,UF_CRM_1758620699: crm,"UF_CRM_1758620699:
Не отображается в common layout выбранных воронок: Лидген УС, Привлечение, Активация (Онбординг).",UF_CRM_1758620699: Бизнес / B2B; Бизнес / B2C; Бизнес / B2G; Бизнес / CRM; Торговля / E-commerce; Технологии / ERP; Торговля / FMCG; Бизнес / GR; Отрасли / Horeca; Бизнес / HR; Отрасли / IT; Бизнес / M&A; Инвестиции / NFT; Маркетинг / PR; Хобби / Авиация; Хобби / Авто; Технологии / Автоматизация; Бизнес / Авторское право; Азербайджан; Хобби / Алкоголь,"Поле существует в deal fields как multi-value crm-ссылка на DYNAMIC_164. Справочник содержит 403 тега, включая Хобби / Авиация, Хобби / Авто, Хобби / Алкоголь, Хобби / Баня, спорт и бизнес-темы. Но в common layout трех выбранных воронок поле не отображается.","Если это source of truth для интересов участника, его надо добавить в нужные карточки или явно подтягивать из другого процесса. Сейчас менеджер в этих карточках его не видит в common-настройке."
C011,related_hidden_questionnaire_fields,medium,Анкетные интересы,"UF_CRM_1647996021
UF_CRM_1647996261","UF_CRM_1647996021: Какие вопросы Вам было бы интересно обсуждать в кругу единомышленников?
UF_CRM_1647996261: Интерес в инвестировании","UF_CRM_1647996021: enumeration
UF_CRM_1647996261: enumeration","UF_CRM_1647996021:
Не отображается в common layout выбранных воронок: Лидген УС, Привлечение, Активация (Онбординг).

UF_CRM_1647996261:
Не отображается в common layout выбранных воронок: Лидген УС, Привлечение, Активация (Онбординг).","UF_CRM_1647996021: Меня прежде всего интересует обсуждение бизнес-вопросов; Мне было бы интересно обсуждать как профессиональные, так и личные вопросы; Меня больше интересует обсуждение социальных, философских вопросов, не касающихся бизнес-сферы; Другое

UF_CRM_1647996261: Инвестор; Поиск инвестиций; Не интересно","Есть два похожих поля про интересы: темы для обсуждения и интерес в инвестировании. Они не являются дублями хобби-тегов, а скорее отдельные фасеты интересов/анкеты. В common layout выбранных воронок они тоже не отображаются.","Решить, нужны ли они как отдельные атрибуты профиля. Если да, связать с Хобби (теги) сделка через правила нормализации: broad interests vs concrete tags."
C012,retention_interest_not_hobby,medium,Снижение интереса / отток,"UF_CRM_1757947312359
UF_CRM_1653903234530
UF_CRM_1653903197","UF_CRM_1757947312359: Сигналы снижения интереса, которые участник начал демострировать за 2-3 месяца перед выходом из Клуба (выбрать несколько вариантов)
UF_CRM_1653903234530: Причина выхода из клуба (Что оказалось не таким, как ожидалось при вступлении? Как со временем изменились интерес и участие? С какой мотивацией вступал(а) и что получил(а)/не получил(а)? Что предпринимал Клуб, чтобы удержать, и какова была реакция?
UF_CRM_1653903197: Причина выхода из Клуба","UF_CRM_1757947312359: enumeration
UF_CRM_1653903234530: string
UF_CRM_1653903197: enumeration","UF_CRM_1757947312359:
Активация (Онбординг) -> Если Отток -> Сигналы снижения интереса, которые участник начал демострировать за 2-3 месяца перед выходом из Клуба (выбрать несколько вариантов)

UF_CRM_1653903234530:
Активация (Онбординг) -> Если Отток -> Причина выхода из клуба (Что оказалось не таким, как ожидалось при вступлении? Как со временем изменились интерес и участие? С какой мотивацией вступал(а) и что получил(а)/не получил(а)? Что предпринимал Клуб, чтобы удержать, и какова была реакция?

UF_CRM_1653903197:
Активация (Онбординг) -> Если Отток -> Причина выхода из Клуба","UF_CRM_1757947312359: Не снижал интерес к Клубу; Не отвечает на сообщения 7+ дней при 1–2 напоминаниях; Системно читает (видны прочтения) и не реагирует 2+ раза подряд; Отвечает односложно/формально без продолжения диалога 3+ раза подряд; Просит «писать реже / только по делу» и уходит в реактивный режим; 0 регистраций на события 30+ дней при наличии релевантных приглашений; Отмена <24 ч до начала 2+ раза подряд; Пропуск 2+ подряд регулярных форматов (форум-встречи/ отраслевые встречи); Игнорирует 2+ подряд персональных приглашения.; Откладывает 3+ раза согласованные слоты («давайте позже») без новой даты; 0 инициатив/запросов  60+ дней (при том, что ранее были); Не даёт обратную связь по результатам участия 2 недели+; Резкий спад активности сразу после 1–2 касаний (первое впечатление не закрепилось); Снижение после изменения условий/этапа жизни у участника (смена работы, запуск/закрытие проекта); Прямо говорит «не вижу пользы/формат не заходит» и не готов тестировать другие форматы/маршруты

UF_CRM_1653903197: Переезд в другую страну; Нет времени посещать; Не подошел формат Клуба; Не устраивает цена; Не выходит на связь; Не подходит время; Не интересный спикер; Не интересны мероприятия; Не получил пользы; Личные проблемы/причины; Вышел по инициативе клуба; Конфликтная ситуация; Выбрал другой клуб; Развалился форум/не подошел форум; Больше не интересно; Умер; Нет денег; Не устраивает качество; Замена","Эти поля содержат слово/смысл интереса, но относятся к удержанию и причинам выхода, а не к хобби или интересам как профилю участника. Они отображаются в Активации в секции Если Отток.",Не объединять с хобби/интересами профиля. Держать отдельно как retention signals / churn reasons.
